case_name,scenario_family,one_d_backend,mesh_variant,wall_clock_seconds,one_d_advance_time,two_d_gpu_kernel_time,boundary_update_time,exchange_manager_time,misc_io_time,one_d_share,two_d_share,boundary_share,exchange_manager_share,misc_io_share
surrogate_test7_overtopping_only_variant_strict_global_min_dt,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,1.43906414299272,0.28807156323455274,0.1784952487796545,0.3303259771782905,0.6421713538002223,0.0,0.20017979367859912,0.1240356447270311,0.22954221935607047,0.44624234223829934,0.0
surrogate_test7_overtopping_only_variant_yield_schedule,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,0.918568374007009,0.1589301599888131,0.24735595262609422,0.16539018682669848,0.34689207456540316,0.0,0.1730194120395445,0.26928420314218965,0.18005212405172194,0.37764426076654395,0.0
surrogate_test7_overtopping_only_variant_fixed_interval_002s,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,2.16906663402915,0.8463661948917434,0.3298735658172518,0.30492322449572384,0.687903648824431,0.0,0.39019833766912715,0.1520808815377401,0.14057808077998676,0.317142700013146,0.0
surrogate_test7_overtopping_only_variant_fixed_interval_003s,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,1.4632581829791889,0.4826750790234655,0.28005207830574363,0.23361811961513013,0.4669129060348496,0.0,0.3298632357829981,0.19138938128851501,0.15965611696733137,0.31909126596115556,0.0
surrogate_test7_overtopping_only_variant_fixed_interval_005s,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,1.1408200340811163,0.2862401884049177,0.25798261631280184,0.19744819460902363,0.39914903475437313,0.0,0.2509073998121644,0.22613787328918733,0.17307567250785533,0.3498790543907929,0.0
surrogate_test7_overtopping_only_variant_fixed_interval_010s,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,0.9388894189614803,0.15983866224996746,0.2536413058405742,0.1671721690800041,0.3582372817909345,0.0,0.17024226604531065,0.2701503507421893,0.1780530973124777,0.3815542859000223,0.0
surrogate_test7_overtopping_only_variant_fixed_interval_015s,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,1.0634838290279731,0.12081248487811536,0.3157277702121064,0.21049057529307902,0.41645299864467233,0.0,0.11360067880725395,0.2968806497985798,0.1979255062914007,0.39159316510276554,0.0
surrogate_test7_overtopping_only_variant_fixed_interval_030s,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,0.9042247810866684,0.12063092004973441,0.2626110101118684,0.16449892951641232,0.35648392140865326,0.0,0.13340811109463738,0.2904266899169373,0.181922607029994,0.3942425919584313,0.0
surrogate_test7_overtopping_only_variant_fixed_interval_060s,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,0.6303479559719563,0.07993011293001473,0.1878532380796969,0.11462407559156418,0.24794052937068045,0.0,0.12680316033827319,0.29801514592054035,0.18184254348032458,0.39333915026086186,0.0
surrogate_test7_overtopping_only_variant_fixed_interval_300s,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,0.6256554590072483,0.07003142114263028,0.19345088652335107,0.11715124594047666,0.24502190540079027,0.0,0.11193288595891394,0.3091971527433119,0.18724562257694524,0.3916243387208289,0.0
frontal_basin_fill_strict_global_min_dt,frontal_basin_fill,fastest_exact,refined_figures,2.3062530180905014,0.5051697149174288,0.3767702621407807,0.691070668399334,0.733242372632958,0.0,0.21904349217315802,0.16336900556242245,0.2996508461901187,0.3179366560743008,0.0
frontal_basin_fill_fixed_interval_015s,frontal_basin_fill,fastest_exact,refined_figures,2.247151604038663,0.161316073150374,0.8547295341268182,0.5092764154542238,0.7218295813072473,0.0,0.07178691142175314,0.3803613127795503,0.2266319791414756,0.32121979665722095,0.0
lateral_overtopping_return_strict_global_min_dt,lateral_overtopping_return,fastest_exact,refined_figures,0.6554217139491811,0.18551289127208292,0.1417985949665308,0.051102418918162584,0.27700780879240483,0.0,0.2830435539803719,0.21634711201759987,0.07796876092226153,0.4226405730797667,0.0
lateral_overtopping_return_fixed_interval_015s,lateral_overtopping_return,fastest_exact,refined_figures,0.3322790500242263,0.04037454817444086,0.1225127208745107,0.048139892518520355,0.12125188845675439,0.0,0.12150795595297739,0.3687043190522495,0.14487790462567682,0.3649098203690963,0.0
early_arrival_pulse_strict_global_min_dt,early_arrival_pulse,fastest_exact,refined_figures,0.1749530410161242,0.036792494473047554,0.02628559828735888,0.04599474882707,0.06588019942864776,0.0,0.2102992566425676,0.1502437347455785,0.2628976813431382,0.3765593272687157,0.0
early_arrival_pulse_fixed_interval_005s,early_arrival_pulse,fastest_exact,refined_figures,0.2446923420066014,0.06468376098200679,0.0562608833424747,0.049351012567058206,0.0743966851150617,0.0,0.26434730425793923,0.2299249861320011,0.20168597089044493,0.3040417387196147,0.0
early_arrival_pulse_fixed_interval_015s,early_arrival_pulse,fastest_exact,refined_figures,0.23244206700474024,0.05987654335331172,0.06074067507870495,0.042898352607153356,0.06892649596557021,0.0,0.257597706494714,0.26131532842317334,0.18455502981858496,0.2965319352635277,0.0
regime_switch_backwater_or_mixed_strict_global_min_dt,regime_switch_backwater_or_mixed,fastest_exact,refined_figures,2.4754700580378994,0.47782396723050624,0.3235561278415844,0.6073831134708598,1.066706849494949,0.0,0.19302352928043,0.13070492482467777,0.2453607190677484,0.4309108268271438,0.0
regime_switch_backwater_or_mixed_fixed_interval_015s,regime_switch_backwater_or_mixed,fastest_exact,refined_figures,1.8491148090688512,0.18712843931280077,0.6082932178396732,0.38265551009681076,0.6710376418195665,0.0,0.10119892956080538,0.3289645482564645,0.20693983316779693,0.3628966890149332,0.0
